"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"Lrrc26";0;1,37920140563449;0,769;0,217;0
"Elf5";0;1,76165834194619;0,784;0,116;0
"Car2";0;3,44732781304321;0,925;0,121;0
"Mme";0;1,32440041510059;0,636;0,12;0
"Palmd";0;1,65630115956898;0,84;0,334;0
"Pdzk1ip1";0;1,19851735186003;0,634;0,133;0
"Bst1";0;0,601387742272822;0,274;0,007;0
"Kit";0;1,10948315123929;0,574;0,08;0
"Tspan33";0;0,931909263146418;0,512;0,033;0
"Cyp2f2";0;2,552245297912;0,999;0,583;0
"Taldo1";0;1,9244303931731;1;0,914;0
"Ano1";0;1,32435953949198;0,617;0,055;0
"Ccnd1";0;2,24159522385381;0,793;0,256;0
"Il34";0;0,711778589099597;0,408;0,032;0
"Barx2";0;1,65523798622158;0,788;0,163;0
"Car12";0;1,41179788126122;0,713;0,154;0
"Ctsh";0;2,01300996066628;0,86;0,251;0
"Aldoc";0;1,27328340562665;0,597;0,11;0
"Slc13a2";0;1,08899066273457;0,439;0,008;0
"Wfdc18";0;6,17424677510965;0,997;0,296;0
"BC006965";0;1,30182406557712;0,561;0,038;0
"Slc9a3";0;0,926457777423042;0,442;0,009;0
"Gjb2";0;2,26325161911208;0,805;0,047;0
"Gpc6";0;0,640413153900746;0,316;0,02;0
"Gm16136";0;1,44179138814475;0,751;0,224;0
"Esp4";0;3,7063875143787;0,855;0,034;0
"Cdo1";2,28454789553742e-301;1,47401119621315;0,713;0,189;4,10396183954342e-297
"Enpp3";2,14971751736691e-298;0,957885452199535;0,483;0,075;3,86175254819791e-294
"Pir";6,20889805792867e-297;1,02301701947029;0,488;0,076;1,11536644712631e-292
"Clic6";1,86575251283058e-296;0,428776777952877;0,239;0,008;3,35163781404885e-292
"Spint2";1,72296525916964e-294;1,31266464441572;1;0,962;3,09513479157233e-290
"Cldn3";1,35717195018825e-290;1,57548353889174;0,98;0,449;2,43802369131818e-286
"Cxcl17";5,69891657179827e-284;1,47915204377482;0,999;0,768;1,02375337295784e-279
"Nkd2";2,81473015402296e-273;1,03148995328143;0,536;0,108;5,05638124868684e-269
"Gfra3";3,22335697400866e-268;0,412431296781366;0,187;0,003;5,79043846810915e-264
"Cited4";1,69613220976463e-265;1,5533047422266;0,832;0,361;3,04693190162118e-261
"Slco1a5";9,17887169778468e-265;0,664377760442862;0,382;0,046;1,64889251179004e-260
"Chst9";1,32497774326274e-260;0,633970081880094;0,388;0,049;2,38019001799719e-256
"Ehf";5,26986167761795e-260;1,36387026603274;0,991;0,838;9,46677951767289e-256
"Hp";5,86945557529089e-255;2,43013963300614;0,614;0,161;1,05438899954526e-250
"Pglyrp1";3,65395153042022e-253;0,84578646903698;0,462;0,077;6,56395852924688e-249
"Cracr2b";2,83252493830692e-252;1,35132034680745;0,886;0,522;5,08834779917456e-248
"Car8";3,03903918190246e-249;1,15497286153191;0,659;0,192;5,45932998636957e-245
"Hsf2bp";1,3947922162805e-246;0,366617588345356;0,2;0,006;2,50560473732629e-242
"Cyb5a";6,5981378340614e-245;1,4062467032822;0,975;0,793;1,18528948051079e-240
"Atp6v1g1";4,43024427646406e-244;1,31745994365517;0,917;0,585;7,95849081824004e-240
"Fth1";4,01639478762199e-238;1,06302273872424;1;0,993;7,21505159648414e-234
"Paqr6";5,02448571096614e-237;1,22910240027984;0,7;0,262;9,02598613117958e-233
"Glul";5,21954436954909e-234;1,27179879734545;0,948;0,617;9,37638950545798e-230
"Ces1d";8,60502909633319e-228;1,25720435809237;0,955;0,623;1,54580742686529e-223
"Bcl2l14";9,99495838275764e-226;1,16596480963918;0,673;0,208;1,79549432387858e-221
"Slc34a2";4,33104354642575e-225;0,327292236183699;0,184;0,006;7,78028662679922e-221
"Foxc1";8,51183033918945e-225;1,29081379531999;0,721;0,297;1,52906520213199e-220
"Aox3";2,29275724771994e-222;1,10020118271999;0,634;0,199;4,11870911980411e-218
"Rhov";1,6123612922947e-220;0,736073772975393;0,423;0,074;2,8964458254782e-216
"Susd3";1,18657736005687e-217;0,30480614526187;0,183;0,007;2,13156756960616e-213
"Alas1";2,32994212498479e-215;1,3157407626187;0,689;0,279;4,18550803332267e-211
"Cd81";1,44787080200733e-213;1,1777156668287;0,991;0,849;2,60095510872596e-209
"Abhd14b";5,56178923760952e-213;1,08193715607173;0,714;0,295;9,99119818644174e-209
"Mucl2";2,2286856641734e-209;-0,965112846843679;1;0,724;4,00361092712109e-205
"Clec2d";7,32279528919198e-205;1,3159930130348;0,927;0,679;1,31546694575045e-200
"Chpt1";3,73775358339188e-203;1,27127751084685;0,782;0,44;6,71450053720517e-199
"Tspan7";1,23895140540889e-200;0,767604852077756;0,495;0,121;2,22565230467654e-196
"Scgb1b27";2,46360349021482e-200;-1,70329994918534;0,99;0,548;4,42561730982191e-196
"Gpx4";1,37928702665702e-188;0,962089862328877;1;0,968;2,47775121468667e-184
"Vamp5";4,01600327648762e-188;1,03219888096287;0,611;0,22;7,21434828588235e-184
"Tmem176a";2,34833777686895e-186;1,50857370736141;0,986;0,79;4,21855398236739e-182
"Vamp8";2,21306738539945e-183;1,00779846909959;0,991;0,894;3,97555425113157e-179
"Pik3ap1";1,37924175792702e-178;0,332040308375525;0,202;0,015;2,47766989394009e-174
"Mt2";1,90732172198997e-178;-1,94044606819508;0,621;0,854;3,42631274138278e-174
"Fam181b";1,92914104763354e-178;0,642805265301894;0,37;0,07;3,46550897796888e-174
"Rhoj";4,36856316882569e-176;0,509822248411224;0,32;0,049;7,84768687647847e-172
"Tmem176b";5,38223075444227e-176;1,43225919466723;0,997;0,9;9,6686393272801e-172
"Cyba";1,48424102823521e-175;1,12657973123045;0,761;0,428;2,66629058312174e-171
"Ncald";1,77820857889192e-175;0,73258435877436;0,689;0,225;3,19437389112144e-171
