"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"Pclaf";7,1003059544774e-259;-3,10281296112971;0,012;0,922;1,27549896166232e-254
"Cdk1";3,74646930637824e-253;-2,56874088171373;0,01;0,883;6,73015746197788e-249
"Pbk";2,56853376562845e-242;-1,64864828748545;0,004;0,796;4,61411405657495e-238
"Birc5";1,45648560432125e-235;-2,38626479716688;0,017;0,893;2,6164307396027e-231
"Cdca3";1,39168089689287e-228;-1,9555737672819;0,012;0,835;2,50001556317835e-224
"Racgap1";1,0642029137053e-227;-1,51361473024098;0,009;0,806;1,91173411418021e-223
"Tpx2";8,00043167253454e-227;-1,49493526111025;0,011;0,825;1,4371975456541e-222
"Hmmr";8,68141068647316e-219;-1,66393206553469;0,004;0,718;1,55952861571804e-214
"Ccnb1";2,21486843390651e-211;-1,55938928106159;0,001;0,67;3,97878965466966e-207
"Top2a";1,39982508480209e-209;-2,6879021856406;0,023;0,864;2,51464578233847e-205
"Ube2c";4,93555911296033e-208;-3,13516251536772;0,015;0,796;8,86623839052193e-204
"Ccnb2";1,07321054593219e-206;-1,74941077030179;0,008;0,728;1,92791542471259e-202
"Shcbp1";9,8994788909397e-206;-1,16015963756004;0,004;0,68;1,77834238796841e-201
"Cdca8";9,3849859293395e-205;-1,96581147453863;0,029;0,893;1,68591887234655e-200
"Spc24";3,25664326498968e-202;-2,14742656778357;0,04;0,942;5,85023396122746e-198
"Ccna2";1,56416984628731e-201;-1,24809970662058;0,001;0,641;2,80987471187053e-197
"Cdc20";2,1553665964853e-200;-2,30649017169713;0,013;0,757;3,8719005539262e-196
"Melk";1,2662306078559e-199;-1,07253670434655;0,005;0,68;2,27465666395234e-195
"Incenp";8,57336926493627e-199;-1,36204582309566;0,016;0,786;1,54012005475315e-194
"Kif11";1,6408047352809e-198;-1,29566962791912;0,007;0,699;2,94754162645861e-194
"Lockd";4,59581919362945e-194;-2,04933521425407;0,025;0,835;8,25592959943595e-190
"Mki67";7,34208240375427e-193;-2,0375442595151;0,03;0,864;1,31893168301042e-188
"Ska1";5,29572712953017e-182;-0,903918804886088;0,001;0,583;9,513244215488e-178
"Cenpm";6,57140248474012e-182;-1,34672918545981;0,024;0,796;1,18048674235871e-177
"Tacc3";3,37292682858107e-180;-1,50755995572493;0,031;0,835;6,05912575486304e-176
"Kif23";4,85517963546205e-178;-1,57187475536091;0,022;0,767;8,72184469714403e-174
"Nusap1";2,25345968208565e-176;-1,23220747489903;0,004;0,592;4,04811497289866e-172
