"";"id";"module";"supermodule";"dim_1";"dim_2"
"1";"Mucl2";"22";"1";6,64531499814257;-0,029454454488548
"2";"Smgc";"11";"1";6,18707830380663;1,93912412255308
"3";"Scgb2b27";"22";"1";6,61267835568651;0,00587703316709165
"4";"Scgb1b27";"22";"1";6,67605668973192;-0,0528112497995221
"5";"Klk1";"7";"1";3,76982075642809;-1,70886149973372
"6";"Car6";"22";"1";6,61726457547411;-0,000826820440086085
"7";"Scgb2b26";"22";"1";6,60996419858202;0,00261582463285093
"8";"Apoe";"5";"1";-1,02969806719557;-3,15379522711733
"9";"Rps19";"12";"1";-3,67600553560987;4,01313520997068
"10";"Prol1";"22";"1";6,5905130572246;0,0840455445577777
"11";"Rps15a";"12";"1";-3,7674302392079;3,93616940110227
"12";"Myl9";"5";"1";-0,208001010902078;-3,57188485533694
"13";"Rpl39";"12";"1";-3,67451923418775;3,99785162537595
"14";"Rps24";"12";"1";-3,62420719195143;4,15540863602659
"15";"Pcp4";"5";"1";-0,507075839526804;-3,46221350104311
"16";"Rpl12";"12";"1";-3,6889538102223;3,89838148682615
"17";"Rplp0";"12";"1";-3,6810204320027;4,05210234253904
"18";"Rpl23";"12";"1";-3,5754329495503;4,2105124148657
"19";"Rpl32";"12";"1";-3,59434669543043;4,20859219162962
"20";"Rps3a1";"12";"1";-3,5774568848683;4,16398121445676
"21";"Cat";"21";"1";3,65149838399157;-2,8968205300043
"22";"Rps8";"12";"1";-3,51415675211683;4,2249109896948
"23";"Rps16";"12";"1";-3,6086692147328;4,08726526825926
"24";"Rps7";"12";"1";-3,57180374193922;4,22960878937742
"25";"Rps18";"12";"1";-3,62823765803114;4,13617111771604
"26";"mt-Cytb";"7";"1";2,4618886179851;-2,05103389889696
"27";"Rpl17";"12";"1";-3,58537595797315;4,14599825470945
"28";"Rps12";"12";"1";-3,69065301943556;3,89788843720457
"29";"Rps5";"12";"1";-3,60103743601576;4,22321583359739
"30";"Hepacam2";"15";"1";3,04761750172838;3,70706535904905
"31";"mt-Co1";"7";"1";2,475406474583;-2,06831257016161
"32";"Rps27a";"12";"1";-3,5569433503224;4,2128374728491
"33";"Fxyd2";"3";"1";2,56508619260058;2,89011360734007
"34";"Rps3";"12";"1";-3,5993975930287;4,19552733033201
"35";"Rpl10a";"12";"1";-3,69663136530653;4,03488232224485
"36";"Sparc";"5";"1";-0,75379424620405;-3,18255268008211
"37";"mt-Co2";"7";"1";2,49396831464037;-2,0645644512842
"38";"Rps28";"12";"1";-3,62309592295423;4,08961893647215
"39";"Rpl13a";"12";"1";-3,61589925814405;4,08124329178831
"40";"Rps23";"12";"1";-3,60906189013258;4,26689983933469
"41";"Rpl3";"12";"1";-3,66429155398145;4,05230547516843
"42";"Eef1a1";"12";"1";-3,54746382761732;4,09549452393552
"43";"Rpl27a";"12";"1";-3,63348000574842;4,1147945079138
"44";"Rps14";"12";"1";-3,58530300188795;4,275502935343
"45";"Rps4x";"12";"1";-3,56421464014784;4,19462563126585
"46";"mt-Co3";"7";"1";2,47105152081713;-2,09826509625414
"47";"Rpl18a";"12";"1";-3,59320037890211;4,2383501681616
"48";"Rps20";"12";"1";-3,62524145174757;4,09989716141721
"49";"mt-Nd4";"7";"1";2,49088794659838;-2,05008511216143
"50";"Rps13";"12";"1";-3,59823482561842;4,11244131653806
"51";"Rps9";"12";"1";-3,53049724627271;4,09205414383909
"52";"Acta2";"5";"1";-0,134413518793733;-3,55687950522402
"53";"Fos";"5";"1";1,35900432538256;-2,21610479027727
"54";"Rpl34";"12";"1";-3,51064150858656;4,20896412461301
"55";"Stap1";"15";"1";3,11420351933703;3,68950058548948
"56";"Rpl30";"12";"1";-3,52956383753553;4,18006493180296
"57";"Klk1b5";"7";"1";4,27053625058397;-1,96319039136866
"58";"Rps26";"12";"1";-3,53918784189955;4,20286919205686
"59";"Rps11";"12";"1";-3,54990809489027;4,21300913422605
"60";"Rpl13";"12";"1";-3,41408007670179;4,22763611405393
"61";"Tpt1";"12";"1";-3,57149212885633;4,04521586030027
"62";"Tpm2";"5";"1";-0,305122905261667;-3,57968758017519
"63";"mt-Atp6";"7";"1";2,47397286366686;-2,06892572314242
"64";"Rps2";"12";"1";-3,62617176104322;4,06766487687132
"65";"Slc12a2";"15";"1";3,24940473508105;2,8985178622534
"66";"Rpl9";"12";"1";-3,34192364741102;4,15923239319822
"67";"Rpl37";"12";"1";-3,55316131640211;4,2343309077551
"68";"Eef1b2";"12";"1";-3,7091421418263;3,78775288193723
"69";"Chchd10";"14";"1";1,55833119820818;3,81924559205076
"70";"mt-Nd2";"7";"1";2,47215301465258;-2,04577575594881
"71";"Rps10";"12";"1";-3,44800394106642;4,2461717280676
"72";"Crisp3";"7";"1";4,19864494275316;-1,94557194382647
"73";"Rpl7";"12";"1";-3,60938303995863;4,1272399577429
"74";"Rps27";"12";"1";-3,60628216791883;4,31222368805906
"75";"Rpsa";"12";"1";-3,64927428293958;4,11091496079466
"76";"Taldo1";"9";"1";4,55047256421313;0,138244405679909
"77";"Rpl26";"12";"1";-3,57849829722181;4,05300118058225
"78";"Klk1b26";"7";"1";4,34246475171313;-1,99316354066828
"79";"Atp1b1";"9";"1";3,45201475095019;0,211340084963051
"80";"Rpl6";"12";"1";-3,38427608538404;4,23323942749998
"81";"Rpl28";"12";"1";-3,54680698443189;4,23707605927488
"82";"Rpl35";"12";"1";-3,61326139498487;4,11012817948362
"83";"Krt8";"9";"1";5,02736026715502;0,291100517206398
"84";"Stmn1";"16";"1";-3,57261913347975;-3,93939135939577
"85";"Ldhb";"15";"1";2,75712568234667;3,15564085572263
"86";"Rpl41";"12";"1";-3,42272632647291;4,2545011195471
"87";"Rps21";"12";"1";-3,4233013920857;4,14328457444212
"88";"Krt18";"9";"1";5,01078683804735;0,308362260751931
"89";"Rpl37a";"12";"1";-3,44603698778883;4,22284103959104
"90";"Rpl15";"12";"1";-3,53241413164869;4,19527699082395
"91";"Gas5";"12";"1";-3,69611900378004;3,84483505814573
"92";"Ecrg4";"5";"1";-0,906897359378488;-3,58490632445315
"93";"Rpl35a";"12";"1";-3,38567369509474;4,23553873627683
"94";"Rpl21";"12";"1";-3,39912479449049;4,2304418238928
"95";"Klk1b11";"7";"1";4,17937643002733;-1,92173801333407
"96";"Rack1";"12";"1";-3,56044643450514;4,35105682938596
"97";"mt-Nd1";"7";"1";2,46789676617846;-2,07980631262759
"98";"Pip";"11";"1";6,16940099667772;1,13575436203977
"99";"Atp6v0d2";"15";"1";3,07451374005541;2,97176148026487
"100";"Rps25";"12";"1";-3,64244478274122;3,82465721695921
"101";"Rpl11";"12";"1";-3,45461266566053;4,24296452134153
"102";"Rpl36a";"12";"1";-3,63426726389662;4,18707110016843
"103";"Cnn1";"5";"1";-0,159214653856905;-3,58971069724062
"104";"Tnfrsf12a";"6";"1";-4,20744627047315;1,4331572207739
"105";"Cdk1";"16";"1";-3,67724125910536;-4,2191738930414
"106";"Ifi202b";"18";"1";-5,57340162325636;-0,0949143019388043
"107";"Rps6";"12";"1";-3,64223402071729;3,88965202897092
"108";"Rplp2";"12";"1";-3,56959860850111;3,98211695282957
"109";"Rpl19";"12";"1";-3,41730158854261;4,21929909317991
"110";"Cldn10";"11";"1";6,23958236645922;1,76548506348631
"111";"Gnas";"3";"1";2,44129592847094;3,39212347596189
"112";"Aqp5";"11";"1";6,14450818967089;1,18637372582456
"113";"S100a1";"15";"1";2,98373681973681;2,73464323609373
"114";"Fau";"12";"1";-3,28832333613172;4,11876083939573
"115";"Rpl5";"12";"1";-3,59689539004103;4,04685284226438
"116";"Rpl24";"12";"1";-3,46285598803297;4,1828081759741
"117";"Rpl18";"12";"1";-3,39924138117567;4,22561050980589
"118";"Cox8a";"14";"1";1,53580862950548;3,7147095355322
"119";"Rpl29";"12";"1";-3,37548606920973;4,23073698609373
"120";"Agt";"22";"1";6,61455137204394;-0,00371883780458804
"121";"Junb";"5";"1";1,29591650437578;-2,29324696928957
"122";"Mylk";"5";"1";-0,119217567927988;-3,52934883505801
"123";"Lhfp";"5";"1";-0,882497184760721;-3,10439513594607
"124";"Rpl22";"12";"1";-3,44856708575025;4,1765334758093
"125";"Myl6";"5";"1";-0,364607923514993;-2,86971376807192
"126";"Vim";"5";"1";-0,52209555435911;-3,24623452097872
"127";"Cyp2f2";"9";"1";4,44650918912157;-0,0777163353631818
"128";"Rps29";"12";"1";-3,35147636461988;4,17836214631101
"129";"Rps15";"12";"1";-3,59955184984937;4,26179100602171
"130";"Ckmt1";"15";"1";3,02726871442064;2,63509632676145
