"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"Ptprc";0;1,5017871941771;0,5;0;0
"Cd52";0;2,02440731863885;0,625;0,003;0
"Coro1a";0;1,47108071560291;0,583;0,002;0
"Ighm";1,73871330188229e-272;1,20475781266367;0,319;0;2,88226504053026e-268
"Cd53";3,96271592348497e-272;0,885357434058877;0,306;0;6,56899418636103e-268
"Laptm5";1,83483119888751e-261;0,968913204604397;0,319;0;3,04159967839582e-257
"Ptprcap";4,21168323339603e-245;0,97803991272036;0,333;0,001;6,9817072960006e-241
"Rac2";3,6106425896171e-223;0,795146136867691;0,264;0;5,98536222080826e-219
"Cd3d";8,02540633532257e-223;0,795859283219775;0,25;0;1,33037160820642e-218
"Ccr7";3,8907187246649e-221;0,872686912574132;0,306;0,001;6,449644429877e-217
"Cd3g";6,02847211087734e-211;0,78391469170362;0,25;0;9,99339821820136e-207
"Arhgap15";1,17186673712355e-198;0,637073303374349;0,236;0;1,94260349012971e-194
"P2ry10";3,35344381465878e-198;0,712718047919529;0,222;0;5,55900381155985e-194
"Ms4a4b";3,35353350609278e-198;0,830074998557688;0,222;0;5,55915249305001e-194
"Ms4a6b";4,5958365022837e-188;0,699726571789008;0,236;0;7,61851816983568e-184
"Skap1";2,16945103028628e-186;0,62413424766685;0,222;0;3,59629897290556e-182
"Itk";6,73202897695537e-186;0,598259323334614;0,208;0;1,11596844350989e-181
"Cytip";6,04037444154462e-166;0,884795934844253;0,347;0,005;1,00131287117485e-161
"Txk";4,85292116642857e-153;0,892601977228165;0,264;0,002;8,04468741758865e-149
"Rgs1";1,23429156786217e-149;0,611078094841404;0,181;0;2,04608513204512e-145
"Lsp1";1,61651083937511e-139;0,649540814620791;0,181;0;2,67969001843213e-135
"Cd28";2,21503355053017e-137;0,636716774263208;0,167;0;3,67186111671387e-133
"Gm8369";9,78844249800504e-137;0,611434712082347;0,153;0;1,6226301128943e-132
"Cd2";9,78932439258284e-137;0,516575525740906;0,153;0;1,62277630455846e-132
"Cd3e";4,44345801147019e-132;0,500361958160086;0,208;0,001;7,36592034561413e-128
"Igkc";1,61229833130377e-131;2,23907376514254;0,236;0,002;2,67270694380226e-127
"Ikzf1";2,92481959968422e-131;0,634579447885791;0,222;0,002;4,84847345039654e-127
"Bcl2a1b";1,86329683972104e-127;0,906177449256435;0,167;0;3,08878717120556e-123
"Il7r";3,41245961708762e-125;0,414680882037901;0,153;0;5,65683430724615e-121
"Trbc1";1,863508519445e-124;1;0,139;0;3,08913807268398e-120
"Selplg";2,45225976885463e-116;0,620217265018861;0,222;0,003;4,06511101883032e-112
"Apbb1ip";7,43627756822917e-116;0,528376334329683;0,181;0,001;1,23271173248535e-111
"Cd37";1,95334299930651e-115;0,610721565730263;0,153;0;3,2380566899504e-111
"H2-Ob";1,99979930484722e-115;0,623421277530823;0,153;0;3,31506730764524e-111
"Grap2";4,57250408899118e-107;0,458362031260327;0,153;0,001;7,57984002832068e-103
"Gimap3";7,72951925261537e-101;0,459075001396354;0,125;0;1,28132240650605e-96
"Sell";7,72993567227032e-101;0,444428225431953;0,125;0;1,28139143639225e-96
"Cd69";8,22980794428176e-101;0,515862379388822;0,125;0;1,36425526292359e-96
"Ighd";6,58440704167664e-100;0,557995453120887;0,111;0;1,09149715529874e-95
"Cd40lg";6,58440704167664e-100;0,488286481309482;0,111;0;1,09149715529874e-95
"Fcer2a";6,58493388966578e-100;0,502500340529183;0,111;0;1,0915844908899e-95
"H2-DMb2";6,58495584257066e-100;0,557995453120887;0,111;0;1,09158813002294e-95
"Bank1";6,58499974859849e-100;0,54432051622381;0,111;0;1,09159540832517e-95
"Icos";6,58510951493757e-100;0,637429920615292;0,111;0;1,0916136042912e-95
"Hcst";3,98435434743904e-95;0,729495081638813;0,236;0,005;6,60486420174969e-91
"Ctss";2,52893018504434e-94;0,67129144961313;0,181;0,002;4,192207567748e-90
"Gmfg";4,81010729082494e-93;0,675272985744499;0,278;0,008;7,97371485600051e-89
"Gpr183";1,47850235102023e-91;0,529801570346696;0,125;0;2,45091334728623e-87
"Ddx3y";1,20944956489446e-88;0,383594262858355;0,111;0;2,00490454372555e-84
"Itga4";9,98316042549676e-80;0,429274694392731;0,111;0;1,6549085037346e-75
"Cd83";2,92048783293878e-77;0,609652506740338;0,125;0,001;4,84129268066261e-73
"Cd79b";4,40022024204353e-77;0,694034056227344;0,194;0,004;7,29424509523557e-73
"Srgn";7,55067149200011e-73;1,36549304676097;0,528;0,044;1,25167481322886e-68
"H2-Oa";2,18916702842908e-72;0,413967911901874;0,111;0,001;3,62898218302689e-68
"Trbc2";4,40193016784465e-71;1,49692456202873;0,431;0,032;7,29707963923608e-67
"Inpp5d";2,94897555967022e-67;0,378613313256512;0,153;0,003;4,88851678526533e-63
"Cd79a";7,12206840160831e-67;1,08337167434478;0,236;0,009;1,18062527893461e-62
"Ipcef1";1,5437300551967e-62;0,335375167272586;0,125;0,002;2,55904131249957e-58
"Lat";1,54380833611566e-62;0,412543027795046;0,125;0,002;2,55917107877893e-58
"Fcmr";1,55592649448494e-62;0,582112027991655;0,125;0,002;2,57925934990768e-58
"Slc38a1";3,99744474509689e-59;0,468235863725427;0,153;0,003;6,62656415394711e-55
"Trac";5,21805326788080e-59;0,636764096065064;0,222;0,009;8,64996690216599e-55
"Satb1";6,03084584426159e-52;1,04632557883234;0,333;0,026;9,99733315603244e-48
"Fcer1g";9,97552198630406e-50;0,743242911225297;0,125;0,003;1,65364227966962e-45
"Cxcr4";1,00271624310255e-47;0,540976488995142;0,208;0,01;1,66220271619109e-43
"Thy1";3,71652002049276e-47;0,461148180391652;0,153;0,005;6,16087523797085e-43
"Gimap6";1,15313815292624e-46;0,907710185454789;0,319;0,025;1,91155711610583e-42
"Rps29";4,05806280222475e-46;1,47118024623715;1;1;6,72705070724797e-42
"Neurl3";2,30212117350239e-45;0,593790313360074;0,153;0,005;3,81622626931492e-41
"Fxyd5";1,14045895751706e-44;0,920445713333337;0,292;0,022;1,89053881387603e-40
"H2-Aa";2,10509726821865e-43;2,41785294667933;0,375;0,041;3,48961974152605e-39
"Cd5";1,88499370220073e-41;0,333951689070383;0,111;0,003;3,12475406013816e-37
"Rhoh";1,61459784456903e-40;0,406148407442574;0,153;0,006;2,67651884694209e-36
"H2-Eb1";2,31820291278204e-40;2,51834362945038;0,347;0,038;3,84288496851879e-36
"Gm42418";4,03948170874244e-39;2,11619224694835;1;1;6,69624882858234e-35
"Grap";8,63634749812225e-38;0,312684576064692;0,125;0,004;1,43164732476373e-33
"Tmsb4x";9,75344057260941e-38;1,9778382608837;1;0,998;1,61682784372146e-33
"Itgb7";1,01894109513828e-37;0,314102806742569;0,139;0,005;1,68909865341072e-33
"Cd72";1,20976467378411e-35;0,364249172285366;0,111;0,003;2,00542689973193e-31
"Klf2";9,03558745712077e-33;2,02840426796706;0,653;0,176;1,49782933276691e-28
"Samsn1";1,91916004877868e-32;0,371527370519946;0,111;0,004;3,18139161286042e-28
"Lcp1";1,90792771581506e-30;0,721778962627553;0,264;0,028;3,16277177450662e-26
"Rps27";2,6205515239613e-30;1,15338589106914;1;1;4,34408826127064e-26
"Rpl13a";1,09370571783857e-28;0,981140221663422;1;1;1,81303596846099e-24
"Epsti1";1,4136696167582e-28;0,439947411561829;0,167;0,012;2,34344012370007e-24
"Fau";2,3001838700764e-28;0,828311220342252;1;1;3,81301480142565e-24
"Dennd1c";1,1150567705924e-27;0,298337916996693;0,111;0,005;1,84842960861103e-23
"Cd74";6,71054894493616e-27;3,39060319053582;0,986;0,363;1,11240769860207e-22
"Rplp2";2,85593124789077e-26;0,837621784388177;1;1;4,73427722962852e-22
"Xist";2,19798841999669e-25;-0,881940920694748;1;0,998;3,64360540382852e-21
"mt-Co2";3,39692790572209e-25;0,764514858445352;1;1;5,6310873893155e-21
"Fyb";3,99724657305351e-25;0,833514306529827;0,264;0,035;6,62623564415081e-21
"Rpl30";2,75319757793858e-24;0,756678755290046;1;1;4,56397562494879e-20
"Rpl37a";1,01934249661165e-23;0,817165196736882;1;1;1,68976405663313e-19
"Rpl12";2,50739092750993e-23;0,985313369528141;1;1;4,15650194053321e-19
"Tpt1";2,79901857573798e-23;0,716661542903076;1;1;4,63993309300086e-19
"Rpl38";3,4216175700693e-23;0,780446151993175;1;1;5,67201544590388e-19
"Cd9";1,10072236060684e-22;-0,826291882239052;1;1;1,82466745717795e-18
"Celf2";1,37669203194976e-22;0,623197010646249;0,236;0,03;2,28214238136312e-18
"Rpl8";1,79554649196019e-22;0,703250972597198;1;1;2,9764774197224e-18
"Sh3bgrl3";8,37043224578691e-22;1,49363261419789;0,944;0,509;1,3875665533841e-17
"Ptpn18";1,15345691266203e-20;0,988876747959107;0,333;0,067;1,91208552411985e-16
"Rps24";5,1747813477711e-20;0,749035788140081;1;1;8,57823504020015e-16
"Emp3";6,64133976987133e-20;0,658394614907764;0,236;0,034;1,10093489365157e-15
"Rps28";1,26082530881699e-19;0,722640128537033;1;1;2,09007011442593e-15
"Rpl18";1,85428565802059e-19;0,607361370454925;1;1;3,07384933530073e-15
"Rps21";2,20899024533898e-19;0,680141144263107;1;1;3,66184312969843e-15
"Slfn2";3,5623231925158e-19;0,685686855546324;0,236;0,035;5,90526315623345e-15
"Rps13";3,51262701229956e-18;0,685972706011449;1;1;5,82288179828898e-14
"Rpl19";3,83938297659887e-18;0,544229284898511;1;1;6,36454516030795e-14
"Rpsa";4,58391775447373e-18;0,720358640430627;1;1;7,59876046159111e-14
"Rps23";2,65663002360861e-17;0,594260479983355;1;1;4,40389559013599e-13
"Rpl18a";3,57826675216427e-17;0,583163251412947;1;1;5,93169279506271e-13
"Rps10";4,53515089425267e-17;0,579231206962404;1;1;7,51791963740266e-13
"Rps14";8,39018239382787e-17;0,609965293292412;1;1;1,39084053542485e-12
"S100a11";1,78217877788355e-16;-0,816718340073995;1;1;2,95431776009756e-12
"Gimap1";4,85444912243449e-16;0,356759220184556;0,125;0,012;8,04722031025966e-12
"Rps6";5,34662932927626e-16;0,662351966633413;1;1;8,86310743914125e-12
"Rpl34";5,81848106392856e-16;0,627852690617204;1;1;9,64529605967437e-12
"Rps3";6,18841986918957e-16;0,586998291018575;1;1;1,02585436171555e-11
"mt-Nd1";8,6115141265645e-16;0,545239435203885;1;1;1,4275306967606e-11
"Epcam";1,74668144555942e-15;-0,913561693831061;1;0,994;2,89547383230386e-11
"Rpl35a";2,32457864372851e-15;0,540800723651613;1;1;3,85345401770875e-11
"Arhgdib";3,79796470646003e-15;1,28978951425277;0,5;0,209;6,29588609389879e-11
"Actg1";1,09986485239163e-14;-0,894772501929022;1;1;1,82324596580961e-10
"Malat1";1,15213445383111e-14;-0,895220788560932;1;1;1,90989328411584e-10
"Ltb";1,39538799365915e-14;0,701224586502881;0,278;0,062;2,31313467708877e-10
"Stap1";2,47208507975173e-14;0,284917401234371;0,111;0,011;4,09797543670444e-10
"Rpl27";3,18251828525897e-14;0,549193597430537;1;1;5,2756605614738e-10
"Actb";5,6699160638262e-14;0,594275542275131;1;1;9,3990198590047e-10
"Lars2";7,38835240987104e-14;0,723428266199752;0,931;0,508;1,22476717898432e-09
"Rps11";1,36886328686567e-13;0,530197953256609;1;1;2,26916467063721e-09
"Krt14";1,74660665361708e-13;-1,4055732370441;1;0,98;2,89534984970103e-09
"Ifitm3";1,87106131808818e-13;-0,87959630085472;1;0,999;3,10165834699478e-09
"Dstn";2,74668028821211e-13;-0,794150243043257;1;0,999;4,55317191376922e-09
"Rps15a";4,32115501385311e-13;0,605190638366858;1;1;7,1631786664643e-09
"Cd27";4,48252942035795e-13;0,404341016961781;0,153;0,022;7,43068902012737e-09
"Ptk2b";5,77468089157654e-13;0,26896716561979;0,111;0,012;9,57268851396642e-09
"Cnot7";6,63746959864803e-13;-0,715912370645036;0;0,439;1,10029333536788e-08
"Rps20";7,28598112394643e-13;0,647066573052903;1;1;1,2077970909166e-08
"Rack1";8,89966508426182e-13;0,539791829970202;1;1;1,47529748101808e-08
"Ift43";9,45331901987751e-13;-0,703043737826537;0;0,435;1,56707669392509e-08
"mt-Nd2";9,64307209251197e-13;0,521480695364423;1;1;1,59853206077571e-08
"Lck";9,97258391725253e-13;0,34378006366179;0,125;0,016;1,65315523596295e-08
"Mettl26";1,72604596377981e-12;-0,690280336646693;0;0,428;2,8612663941578e-08
"Dusp2";1,86292487551742e-12;0,565088768306868;0,194;0,037;3,08817056614522e-08
"Map1lc3a";2,91877257378196e-12;-0,579543419404091;1;0,995;4,83844929555836e-08
"Wwc2";3,24417672692481e-12;-0,743868284176817;0;0,423;5,37787176022326e-08
"Rpl21";3,49651635567057e-12;0,450895489207183;1;1;5,7961751627951e-08
"Stk19";3,57074036007048e-12;-0,640859978838783;0,014;0,445;5,91921629488884e-08
"Btg1";3,69279677895525e-12;0,881191986552548;1;0,982;6,12154922047412e-08
"Ubb";3,81697107005876e-12;-0,575632257216802;1;1;6,32739294283641e-08
"Sf3b4";3,97962324601974e-12;-0,676733804808746;0;0,419;6,59702145492692e-08
"Junb";4,42064629278352e-12;0,638161803757489;1;0,944;7,32810535954724e-08
"Rps19";4,77270257880709e-12;0,550442189770319;1;1;7,91170906488852e-08
"Cnot2";4,78457710583582e-12;-0,668005769719279;0;0,417;7,93139346834404e-08
"Atl2";5,1675879808796e-12;-0,702605495101147;0;0,417;8,56631059590411e-08
"Immt";5,1820767414011e-12;-0,673775939991773;0,014;0,439;8,5903286142206e-08
"Mndal";5,32623490590992e-12;0,468842756208254;0,222;0,046;8,82929960352687e-08
"Limd2";5,3986887076618e-12;0,902146989895402;0,278;0,076;8,94940627069097e-08
"Csad";5,44691934419198e-12;-0,717431568271123;0;0,417;9,02935819686704e-08
"Emb";5,74201533617206e-12;0,99345550677646;0,944;0,492;9,51853882277242e-08
"Nradd";7,63436855187599e-12;-0,663959567201664;0;0,412;1,26554927484448e-07
"Svil";8,23997108032753e-12;-0,722628134144939;0;0,413;1,36594000598589e-07
"Got2";8,71375964780808e-12;-0,665084651124307;0;0,41;1,44447993681715e-07
"Perp";9,325081385725e-12;-0,70383577288775;1;0,994;1,54581874131163e-07
"Kif1b";1,00811439917853e-11;-0,739175201389845;0;0,41;1,67115123951824e-07
"Tsix";1,07418391811063e-11;-0,686296211571555;0;0,409;1,780674681052e-07
"Rps16";1,07482346217233e-11;0,525460769865213;1;1;1,78173485324307e-07
"Tnfrsf12a";1,11300014978311e-11;-0,999156735935186;1;0,968;1,84502034829547e-07
"Rps18";1,36136834955682e-11;0,568793024052269;1;1;2,25674031306033e-07
"Ubqln1";1,37341495536661e-11;-0,651298316483448;0;0,405;2,27670997151122e-07
"Daam1";1,40051636253639e-11;-0,732106827611444;0;0,407;2,32163597417657e-07
"Nckap1";1,44254926519883e-11;-0,66350928784692;0;0,404;2,3913139169201e-07
"Tmem183a";1,48554727479922e-11;-0,649203897614463;0,014;0,427;2,46259171743466e-07
"Npdc1";1,54241796454919e-11;-0,682301053520589;0;0,404;2,55686625983319e-07
"Rpl17";1,58736401419388e-11;0,494200767145924;1;1;2,63137332632919e-07
"Seh1l";1,59901896458337e-11;-0,623945369303991;0,014;0,43;2,65069373758985e-07
"Cav2";1,72864051151762e-11;-0,699534062892934;0;0,403;2,86556737594275e-07
"Eci1";2,01896207899297e-11;-0,66867903489797;0;0,401;3,34683343834665e-07
"Cpd";2,04957651193398e-11;-0,753334708097196;0,014;0,424;3,39758298383295e-07
"mt-Nd3";2,20697886194543e-11;0,666801070335092;1;0,998;3,65850885944695e-07
"Samm50";2,23269583922995e-11;-0,583837207040529;0,028;0,447;3,70113989269149e-07
