"";"id";"module";"supermodule";"dim_1";"dim_2"
"1";"Igfbp7";"4";"1";-5,78203050879374;-1,43926616211845
"2";"Pcp4";"11";"1";-2,99684469488993;0,0152560005574073
"3";"Fos";"53";"1";-1,7317687728776;0,566604016223415
"4";"Apoe";"20";"1";-3,72867362288371;0,399918576577171
"5";"Mgll";"47";"1";-2,99977938918009;0,633496431508526
"6";"Atp1b1";"40";"1";-0,762332514799981;2,18685428599404
"7";"Acta2";"20";"1";-3,6560019710435;-0,22605176468803
"8";"Tpm2";"20";"1";-3,59981314925089;-0,20164980193092
"9";"Cat";"40";"1";-0,642411456383615;2,71316759089516
"10";"Sparc";"20";"1";-3,67874257353678;0,0889251063256111
"11";"Cnn1";"11";"1";-3,23975627211466;0,0359961519627418
"12";"Socs3";"31";"1";-2,46200768736735;0,399336473891005
"13";"Ecrg4";"47";"1";-3,14202945021525;0,534570207694038
"14";"Cyp2f2";"15";"1";-1,57867638853922;-3,33438690205528
"15";"Ifi202b";"14";"1";0,527703120432944;3,33244792918251
"16";"Taldo1";"15";"1";-1,40789501456156;-3,56821020146324
"17";"Myl9";"20";"1";-4,02828614500895;-0,289245145520702
"18";"Mylk";"20";"1";-3,53446929243937;-0,0868864824385796
"19";"Myl6";"20";"1";-3,43854634550944;-0,363390879830853
"20";"Gng11";"4";"1";-5,80743448523417;-1,43789155980064
"21";"Fxyd2";"19";"1";-0,195924357451349;-5,26164205571128
"22";"Tspan2";"11";"1";-2,79015223769084;0,172596646347507
"23";"Junb";"53";"1";-1,70785264758006;0,68831927875565
"24";"Plcb4";"38";"1";-2,44984738615885;-0,284618752202526
"25";"Esp4";"34";"1";-2,14417569426432;-3,71309049626304
"26";"Car2";"34";"1";-2,08057360438242;-3,65825279255821
"27";"Atp1b2";"4";"1";-5,9274429538621;-1,33081312676384
"28";"Lhfp";"11";"1";-2,93872897414103;0,415095213675364
"29";"Egr1";"53";"1";-1,74218599585429;0,593004060783848
"30";"Elf5";"34";"1";-2,04958050040141;-3,68009288807823
"31";"Myh11";"20";"1";-3,61912338522807;-0,170105831822887
"32";"Cox4i2";"4";"1";-5,67305080679789;-1,50547881623222
"33";"Tacstd2";"14";"1";0,503920271121115;3,19627730349587
"34";"Tgfb1i1";"11";"1";-3,1991657474412;-0,0894831587882195
"35";"Fosb";"53";"1";-1,78211562422648;0,661912096539005
"36";"Lmod1";"11";"1";-3,26176850584879;0,0307063589482154
"37";"Gjb2";"34";"1";-2,14773862151042;-3,59539850254966
"38";"Igfbp2";"11";"1";-3,0278920390977;0,201292646923527
"39";"Bgn";"20";"1";-3,40783922461405;0,0358728895573463
"40";"Fgf7";"11";"1";-2,93903605727091;0,105330480137333
"41";"Rps24";"42";"3";2,80388076516256;-5,31264551182701
"42";"Rps29";"42";"3";2,79607494088277;-5,34667833348228
"43";"Gucy1b1";"4";"1";-5,8681020000352;-1,41417058011009
"44";"Fxyd1";"4";"1";-5,85469763068095;-1,11263020535423
"45";"Mme";"34";"1";-2,29116349009409;-3,35211594601585
"46";"Slc12a2";"16";"1";-2,32635609892741;-3,19142468472435
"47";"Osr1";"11";"1";-2,94816391257182;-0,0703470875830803
"48";"Rps8";"42";"3";2,78783018799886;-5,11629064579918
"49";"Ndufa4l2";"4";"1";-5,79933254507914;-1,51744266053154
"50";"Rps19";"42";"3";2,77013142319784;-5,26088388462974
"51";"Atp1a1";"40";"1";-0,688503653682618;2,39836959342049
"52";"Ngf";"25";"1";-2,84769503859416;1,1420885155587
"53";"Gas6";"11";"1";-2,83992688444987;0,447876931042835
"54";"Rbpms";"47";"1";-3,01594869879618;0,685222489634022
"55";"Ncald";"34";"1";-2,06648843077555;-3,59843976994468
"56";"Rpl12";"42";"3";2,83720190735921;-5,34412153264
"57";"Gm13889";"4";"1";-5,81220142630473;-1,4221300651641
"58";"Crip1";"4";"1";-6,0106777408494;-1,18923874398185
"59";"Tnfrsf12a";"8";"1";2,59177310677633;4,30428616503762
"60";"Pgf";"11";"1";-2,9134937980546;0,112724883356556
"61";"Rps18";"42";"3";2,69206769677267;-5,18750579853965
"62";"Pde3a";"4";"1";-5,85738365439311;-1,34004922409965
"63";"Rpl32";"42";"3";2,75415785523519;-5,24699981709434
"64";"Fxyd3";"1";"1";-0,81246607092753;-3,70693309803917
"65";"Rpl39";"42";"3";2,73384173127279;-5,21862800618126
"66";"Gucy1a1";"4";"1";-5,65533296851054;-1,40835745831443
"67";"Oat";"47";"1";-3,05981819418803;0,620636803904041
"68";"Vim";"20";"1";-4,13688318518534;0,0771777162937965
"69";"Rps15a";"42";"3";2,77491338463888;-5,26848085423423
"70";"Rpl23";"42";"3";2,75873573037252;-5,23934371968223
"71";"Rplp0";"42";"3";2,75142963143453;-5,21600730915977
"72";"Ism1";"11";"1";-2,71649544028178;0,195478586354717
"73";"Ctsh";"34";"1";-2,06323997763529;-3,73160894413902
"74";"Wfdc2";"14";"1";-0,438251570738702;2,90820257166909
"75";"Ebf1";"45";"1";-5,36396496085063;-1,69891222020103
"76";"Rarres2";"35";"1";-5,41362945822611;0,465510314205154
"77";"Atf3";"53";"1";-1,61500053194895;0,904394997158512
"78";"Lrrc26";"34";"1";-1,84583942679301;-3,70484598179771
"79";"Fhod3";"11";"1";-2,8500937679185;-0,00331415434791188
"80";"Ubc";"25";"1";-2,06892506865397;0,87801106075333
"81";"Tns1";"11";"1";-2,90338437346354;0,197588352361187
"82";"Jund";"25";"1";-2,41350726870432;0,926826817789539
"83";"Klk1";"19";"1";-0,331233099974542;-6,08854349156334
"84";"Btg2";"53";"1";-1,79185228136912;0,701433552303776
"85";"Rpsa";"42";"3";2,74598081322774;-5,2436257173629
"86";"Ighm";"61";"2";-5,4613670566453;-5,52754266758873
"87";"Cdo1";"40";"1";-0,666515880204587;2,55176012019204
"88";"Rpl10a";"42";"3";2,62235648842916;-5,11477478047325
"89";"Rps5";"42";"3";2,78957708092794;-5,28918893834068
"90";"Tagln";"20";"1";-3,91732518462077;-0,23870612879707
"91";"Rps7";"42";"3";2,7146206638442;-5,2193108369918
"92";"Rps28";"42";"3";2,78651340218648;-5,29459484120323
"93";"Rps20";"42";"3";2,7004490635024;-5,31723983784629
"94";"Ano1";"41";"1";-2,07510380534068;-2,373431997499
"95";"Rps12";"42";"3";2,8282042286025;-5,29863794346763
"96";"Mia";"47";"1";-3,24824039725199;0,785221440592274
"97";"F3";"8";"1";3,41285927506551;4,07119457224892
"98";"Slc25a4";"38";"1";-3,13425938872233;-0,527061240872875
"99";"Mustn1";"4";"1";-6,13813965109721;-1,08663721581413
"100";"Laptm4a";"38";"1";-2,80434839514628;-0,538552479943768
"101";"Sncg";"4";"1";-5,85489074973002;-1,25694914360954
"102";"Gas1";"31";"1";-2,67209641722575;-0,029860692224041
"103";"Trf";"47";"1";-3,16352145460978;0,753405077257618
"104";"Cracr2b";"15";"1";-1,659635470189;-3,40080674191429
"105";"Cxcl17";"15";"1";-1,39044343022242;-3,43933113118126
"106";"Ackr3";"47";"1";-3,02277676848307;0,785015148916706
"107";"Sfrp1";"11";"1";-3,06014625815287;0,311442879834637
"108";"Rgs5";"4";"1";-5,71293108252421;-1,50560994645073
"109";"Igkc";"61";"2";-5,46984760550395;-5,55945213337852
"110";"Rabac1";"1";"1";-0,803057775772958;-3,60639246006919
"111";"Rpl13a";"42";"3";2,82515294762716;-5,36754711171104
"112";"Rps3";"42";"3";2,81908138009176;-5,33871896763755
"113";"Aspn";"4";"1";-5,71284143713847;-1,44220002194358
"114";"Sparcl1";"44";"1";-5,34451906470194;-0,783171730241314
"115";"Cbr2";"14";"1";-0,22347207454577;2,81320874194191
"116";"Rpl28";"42";"3";2,74138839455709;-5,29067190190269
"117";"Cldn3";"15";"1";-1,70307271269694;-3,4691031744094
"118";"Sema5a";"11";"1";-2,73253242758647;0,229968337216839
"119";"Cd74";"39";"2";-5,59380619315043;-4,5672112276168
"120";"Spint2";"15";"1";-1,43214862135783;-3,59195859929039
"121";"Rps16";"42";"3";2,79384858819112;-5,30054910679771
"122";"Rps3a1";"42";"3";2,74264724465475;-5,23368080159141
"123";"Cald1";"20";"1";-3,65331666258708;-0,0843615104766045
"124";"Rps26";"42";"3";2,696006610118;-5,1635156442733
"125";"Cited4";"34";"1";-1,84609584597483;-3,65453537007286
"126";"Gm16136";"15";"1";-1,57606111554041;-3,32657225628807
"127";"Rpl13";"42";"3";2,70823438378438;-5,28545434971763
"128";"Rps27a";"42";"3";2,77389080735311;-5,23231657048179
"129";"Rps9";"42";"3";2,6156216404067;-5,222379760942
"130";"Rpl17";"42";"3";2,76857669564352;-5,27947481175377
"131";"Nr4a1";"25";"1";-2,52776233939066;0,90249626139687
"132";"Barx1";"4";"1";-5,88272230414286;-1,42595692177726
"133";"Rps4x";"42";"3";2,80715806695089;-5,29317195912315
"134";"Rpl18a";"42";"3";2,80314810486898;-5,29433973332359
"135";"Sfn";"22";"1";2,08558280678853;3,72179238299416
"136";"Mef2c";"20";"1";-3,95116345671549;-0,237847881516949
"137";"Chchd10";"19";"1";-0,371483490742593;-4,79887111683799
"138";"Cyb5a";"1";"1";-1,10107438353434;-3,51251323719932
"139";"Pik3r1";"23";"1";-1,87451438692942;-1,14396019478752
"140";"Matn2";"11";"1";-2,84837810782328;0,305945468941196
"141";"Cldn4";"22";"1";1,74948461266622;3,60652796725319
"142";"Coro1a";"39";"2";-6,05126087454691;-4,95242078801109
"143";"Notch3";"45";"1";-5,26129572180644;-1,56031640072776
"144";"Rpl27a";"42";"3";2,73776800843343;-5,29470975895835
"145";"Msrb1";"11";"1";-3,23000066069499;-0,0643619467826043
"146";"Rgs4";"45";"1";-5,3363031604661;-1,63928540249778
"147";"Nupr1";"36";"1";1,1687461874114;1,49168757895516
"148";"Pdgfrb";"45";"1";-5,3163327434434;-1,66924913426353
"149";"Rps13";"42";"3";2,8914571544753;-5,40376527806236
"150";"BC006965";"16";"1";-2,36681704310313;-3,27906568547203
"151";"Txnip";"23";"1";-1,74791114119425;-1,28482552071525
"152";"Fth1";"1";"1";-0,759965450443178;-3,76168401738121
"153";"Igfbp5";"11";"1";-2,67188231734171;0,481171691664919
"154";"Barx2";"15";"1";-1,81261567858592;-3,25005157490684
