"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"Mlph";0;1,16576413048681;0,6;0,009;0
"Lrrc26";0;2,06330008491934;0,78;0,024;0
"Elf5";0;2,1611829689865;0,84;0,007;0
"Car2";0;3,60612231163151;0,933;0,025;0
"Mme";0;1,86334912935189;0,76;0,02;0
"Kit";0;1,54391647219445;0,647;0,008;0
"Tspan33";0;0,964389970323994;0,56;0,01;0
"Slc13a2";0;1,4293336324577;0,633;0,002;0
"Slc9a3";0;1,25137131194996;0,627;0,002;0
"Gjb2";0;2,33081168474881;0,873;0,006;0
"Ncald";0;1,88725796505457;0,827;0,019;0
"Esp4";0;4,05358352768419;0,9;0,016;0
"Car12";3,15301281342188e-302;2,01575381914431;0,82;0,044;5,19648041780059e-298
"Pdzk1ip1";2,02450860234725e-288;1,29403274009706;0,627;0,021;3,3365926275285e-284
"BC006965";2,87953237885046e-287;1,65905827020023;0,687;0,028;4,74575731358345e-283
"Ano1";8,58014780867727e-280;1,83943039046627;0,82;0,049;1,4140941603481e-275
"Chst9";1,47966263383482e-255;0,70509979697585;0,433;0,008;2,43863198682316e-251
"Myo5c";6,33028725352749e-239;1,03382714897525;0,567;0,022;1,04329464225387e-234
"Cldn3";2,0208650523907e-236;2,4640811264577;0,9;0,086;3,33058769284511e-232
"Fut9";1,11362752987996e-235;0,734760152912143;0,353;0,004;1,83536953199516e-231
"Rab17";1,19291674820565e-235;1,01349040106896;0,493;0,015;1,96604609271773e-231
"Ppp1r1b";5,43064834461195e-228;0,507213045067773;0,327;0,003;8,95025153675496e-224
"Barx2";1,50321819631884e-223;1,6715972323015;0,753;0,056;2,47745390935308e-219
"Wfdc18";1,16446983138589e-217;6,95399981940868;0,98;0,133;1,91916272910709e-213
"Bcl2l14";1,58905919207186e-214;1,35716356130275;0,627;0,036;2,61892845445364e-210
"Dpp4";4,36301772581633e-214;0,630335659041121;0,373;0,007;7,1906895139179e-210
"Bst1";2,68949641783506e-211;0,807610718319825;0,34;0,005;4,43255904623397e-207
"Clic6";1,30613476377937e-209;0,535377782652882;0,3;0,003;2,15264070418478e-205
"Prr15l";2,77587008697495e-204;0,832068817701785;0,427;0,013;4,57491149034341e-200
"Smim22";7,05244231009281e-192;1,22274659555636;0,613;0,04;1,1623130171264e-187
"Slc5a1";6,8849181548429e-189;0,472020593497411;0,293;0,004;1,13470336109966e-184
"Sidt1";4,93612666870524e-188;0,553306539908687;0,333;0,007;8,13523036269311e-184
"Slc34a2";4,47282136603581e-181;0,531039934110269;0,307;0,005;7,37165689336362e-177
"Gpc6";9,6578225725941e-181;0,951559140951894;0,493;0,024;1,59170573818923e-176
"Slco4c1";4,55206927204987e-176;0,355055120669734;0,213;0,001;7,50226536726539e-172
"Gm16136";1,05316050649384e-173;1,78906653776852;0,787;0,09;1,73571383075251e-169
"Enpp3";8,36497127402834e-166;1,17988305457997;0,56;0,039;1,37863091567261e-161
"Pik3ap1";1,20768073199369e-165;0,346071138698188;0,213;0,001;1,9903786143988e-161
"Cited4";3,38791050329205e-157;2,06960983072678;0,86;0,133;5,58361530047564e-153
"Slc12a2";2,74366608321003e-155;2,43225921174904;0,92;0,168;4,52183607173845e-151
"Ptpn18";1,70476539296419e-147;0,951926083934926;0,6;0,052;2,80962384414428e-143
"Ctsh";2,42756898914545e-143;2,03678084596342;0,88;0,168;4,00087645101061e-139
"Car8";3,4008468758723e-136;1,43263247377303;0,693;0,085;5,60493573612514e-132
"Atp2a3";9,61801577874983e-130;0,564711454199972;0,333;0,014;1,58514518049576e-125
"Fam181b";2,66424412904085e-128;0,655962138954673;0,373;0,02;4,39094074907223e-124
"Slc5a8";9,34922959539163e-128;0,833921899481708;0,447;0,031;1,5408465296165e-123
"Gm830";1,23646360917548e-126;0,299299162905916;0,173;0,001;2,03781567428211e-122
"Slco1a5";1,60142246074205e-125;0,775645987877135;0,42;0,027;2,63930435754897e-121
"Bglap3";5,69578126638794e-121;3,75492690287201;0,433;0,032;9,38721710513397e-117
"Atp6v1b1";6,81409109833634e-121;0,855685460323687;0,38;0,023;1,12303035391681e-116
"Gm15326";8,64893879654438e-119;0,285429744204088;0,153;0,001;1,42543160305848e-114
"Cdo1";1,86221191873917e-116;1,32324442927508;0,68;0,087;3,06911146327403e-112
"Igsf5";1,60495951847919e-115;0,292929239117064;0,16;0,001;2,64513378240555e-111
"Sorbs2";9,83814919959129e-115;1,32475663999384;0,7;0,104;1,62142536958464e-110
"Rap1gap";1,79455476161972e-112;0,57146882037528;0,333;0,018;2,95760570262547e-108
"Prol1";2,97931458825997e-108;3,18404688725291;0,713;0,12;4,91020837291126e-104
"Zfp750";2,64234725475636e-107;0,329073896135804;0,18;0,003;4,35485251056396e-103
"Syne4";5,89246447659207e-106;0,507184711880929;0,307;0,016;9,71137070387139e-102
"Cyp2f2";3,43937109034363e-102;3,69290932046952;1;0,473;5,66842749399533e-98
"St6galnac1";1,13098462950292e-101;0,316987079836214;0,133;0,001;1,86397576788376e-97
"Cracr2b";3,6717110485037e-98;1,9805399738558;0,9;0,296;6,05134697903895e-94
"Slc10a5";3,14208526082112e-97;0,448929313414371;0,28;0,014;5,17847071835929e-93
"Gfra3";5,1467485486527e-95;0,254271202455759;0,12;0,001;8,48235628303451e-91
"Adamtsl3";2,30757285192755e-94;0,386089185470782;0,233;0,009;3,8031108172618e-90
"Aldoc";3,27977367406859e-94;1,30585623719393;0,547;0,075;5,40539499223244e-90
"Adamts15";7,42474478202091e-94;0,265230322727286;0,173;0,004;1,22367218752487e-89
"Tmem18";1,46671181890997e-91;0,566801420901935;0,34;0,025;2,41728774874552e-87
"Ccnd1";1,1792116428617e-90;2,74730362076553;0,893;0,316;1,94345870860036e-86
"Hsf2bp";4,2003641491581e-90;0,293876170525474;0,187;0,005;6,92262015422746e-86
"Pglyrp1";7,58335796060444e-90;0,72017973343252;0,367;0,031;1,24981322548722e-85
"Scgb1b27";1,48868377777139e-89;1,03721075324638;0,693;0,134;2,45349973414503e-85
"Mal";1,75245842715374e-89;0,448304477980674;0,26;0,013;2,88822673379208e-85
"Vipr1";2,88635045030368e-89;0,453349316931657;0,273;0,015;4,75699417714549e-85
"Scgb2b27";3,54479600377965e-88;0,93434449074628;0,607;0,097;5,84217829382925e-84
"Nkd2";2,51008618816288e-87;1,21773782389467;0,64;0,115;4,13687304671123e-83
"Ceacam1";3,19860492388022e-87;1,11772308211328;0,567;0,084;5,27162077504699e-83
"Il34";5,07388192493816e-86;0,529761954794649;0,347;0,028;8,36226480049058e-82
"Palmd";6,39865436275745e-86;1,64174960345079;0,78;0,19;1,05456222552606e-81
"Mucl2";2,58935946897569e-85;1,51206569315383;0,993;0,535;4,26752334081883e-81
"Tbc1d4";8,37300268740436e-85;0,84951178663183;0,513;0,07;1,37995457291111e-80
"Taldo1";2,68563849829617e-84;2,31147913701288;1;0,888;4,42620080904192e-80
"Ckmt1";5,74806789654911e-83;1,37815869857041;0,813;0,214;9,47339070030259e-79
"Kcnn4";9,77787392368007e-83;0,373240608718227;0,187;0,006;1,61149140136171e-78
"Atp1b1";6,79332510659143e-82;2,37735401766291;1;0,733;1,11960791081733e-77
"Clec2d";8,54159616542866e-82;2,0144993441985;0,98;0,569;1,4077404640243e-77
"Ifi27l2a";1,54801104974097e-80;3,26579954547718;0,847;0,28;2,5512770110781e-76
"Lcp1";1,44975943958319e-79;0,450204264753051;0,3;0,022;2,38934853237706e-75
"Foxc1";3,78517175968568e-79;1,71480596920155;0,833;0,289;6,23834157713797e-75
"Hp";1,52790100580117e-78;2,98334765535022;0,653;0,14;2,51813364766092e-74
"Mgat3";2,25564874192306e-78;0,431189598252451;0,233;0,013;3,71753469156339e-74
"Spint2";6,58859729438921e-78;1,64635692023904;1;0,95;1,08586672008829e-73
"Chpt1";4,60851554669809e-77;1,55472086989157;0,827;0,273;7,59529447251313e-73
"Itprid1";1,34448064939486e-76;0,660022135917544;0,427;0,051;2,21583855826767e-72
"Nectin4";4,84723051853161e-76;0,590894919443225;0,34;0,032;7,98872061759194e-72
"Cd82";3,33345548721084e-75;1,0606452695147;0,66;0,141;5,49386798847219e-71
"Glul";8,08653228479429e-74;1,75901489827539;0,927;0,497;1,33274138585695e-69
"Tspan8";4,86957936128579e-73;1,02040752702314;0,567;0,098;8,02555374533511e-69
"Abhd14b";6,58350180432522e-73;1,24357261375745;0,68;0,17;1,08502693237084e-68
"Tpcn1";6,40943551847768e-72;0,540929586518707;0,387;0,045;1,05633906780031e-67
"Ehf";1,1102443986893e-71;1,66089805597838;1;0,89;1,82979379347984e-67
"Ramp1";1,23673461293677e-71;0,281659003770185;0,193;0,009;2,03826231558109e-67
"Fam234b";3,21856143937239e-70;0,32622880268006;0,2;0,01;5,30451110822964e-66
"Cyp2d22";4,01970883891698e-69;0,520543146576257;0,32;0,031;6,62488213741907e-65
"Cxcl17";1,91770240584312e-68;1,68895171478638;1;0,759;3,16056533507005e-64
"Chchd10";3,81250130473027e-68;1,66514485958522;1;0,685;6,28338340032596e-64
"Krt14";4,1786361631854e-68;-3,29367958662792;0,9;0,975;6,88681026054586e-64
"Ppp1r9a";1,37124427412745e-67;0,972511417962227;0,58;0,118;2,25994768818945e-63
"Bspry";1,55928416764813e-67;0,355358686171304;0,253;0,019;2,56985623670089e-63
"Stc1";1,74473422876833e-67;0,397479531713815;0,213;0,012;2,87549648243308e-63
"Klhdc7a";4,58987978978316e-67;0,520378955805837;0,32;0,032;7,56458088154163e-63
"Csprs";3,00152705913522e-66;1,16478609842381;0,633;0,151;4,94681674616075e-62
"Tmsb10";7,07406953169931e-66;-1,91393830034335;0,88;0,985;1,16587739951936e-61
"2010300C02Rik";1,29675089144798e-65;0,322640007195395;0,207;0,012;2,13717514419542e-61
"Cyb5a";2,00167611697477e-65;1,61805195236787;0,987;0,764;3,29896240838612e-61
"Plcb4";3,68264603890696e-65;1,29797358585078;0,78;0,228;6,06936893672257e-61
"Tspan7";5,55838251566488e-65;0,838468157509514;0,52;0,095;9,16077022406728e-61
"Eif1";5,74635576433976e-65;-1,08079308119106;1;1;9,47056893520836e-61
