"";"id";"module";"supermodule";"dim_1";"dim_2"
"1";"Igfbp7";"31";"1";-1,79577639266571;-6,70914700078723
"2";"Pcp4";"23";"1";-1,58911349937043;-3,60326149511096
"3";"Cat";"24";"1";-2,17323933109364;0,506233667852902
"4";"Atp1b1";"24";"1";-1,98610098413846;0,187375640394711
"5";"Fos";"56";"1";-1,29450299903473;-1,87564369487522
"6";"Acta2";"15";"1";-1,74938630625328;-4,35261395025013
"7";"Mgll";"23";"1";-1,75016289517006;-3,40630509900806
"8";"Tpm2";"15";"1";-1,66609438821396;-4,32916953611133
"9";"Apoe";"15";"1";-1,22248890563568;-4,02484705495594
"10";"Cyp2f2";"18";"1";2,90241745546737;-2,64417495774982
"11";"Myl9";"44";"1";-1,83996794685444;-4,77329876470325
"12";"Sparc";"15";"1";-1,30922975703797;-4,26308848905323
"13";"Ecrg4";"52";"1";-2,06742594703755;-3,48779776143787
"14";"Socs3";"17";"1";-1,45638069078049;-2,7980659251189
"15";"Cnn1";"15";"1";-1,5597171442183;-3,88191440152881
"16";"Ifi202b";"9";"1";-2,18531879350266;1,64050695848706
"17";"Taldo1";"49";"1";3,10601833895126;-2,30482962178943
"18";"Car2";"7";"1";3,13992956713119;-3,05304088639972
"19";"Gng11";"31";"1";-1,9152658016952;-6,71503546285389
"20";"Elf5";"7";"1";3,15492085054794;-3,11949160146472
"21";"Mylk";"15";"1";-1,71868451997361;-4,25332095670459
"22";"Cox4i2";"31";"1";-1,72526266738495;-6,7146907095885
"23";"Tspan2";"13";"1";-1,46009584828934;-3,67911841916797
"24";"Plcb4";"13";"1";-0,789071168151706;-3,42652967023609
"25";"Junb";"56";"1";-1,39427288934311;-1,79013087796924
"26";"Esp4";"7";"1";3,16135958269516;-3,08635761785266
"27";"Tgfb1i1";"15";"1";-1,48843302890381;-3,84910323667285
"28";"Fxyd1";"31";"1";-2,11917206957659;-6,72681953954456
"29";"Gucy1b1";"31";"1";-1,97710106089434;-6,70906975316761
"30";"Lmod1";"15";"1";-1,66595464512429;-4,11078932332752
"31";"Rarres2";"48";"1";-0,788717712608188;-5,92425491857288
"32";"Atp1b2";"31";"1";-2,09255306735358;-6,91494944143055
"33";"Egr1";"56";"1";-1,35607137843689;-1,76744803237674
"34";"Lhfp";"23";"1";-1,69285565182289;-3,48195555257556
"35";"Mef2c";"44";"1";-1,73461335465035;-4,72078039693592
"36";"Tacstd2";"9";"1";-2,06578095942458;1,73412225198987
"37";"Gjb2";"7";"1";3,00407770708481;-3,21125605153797
"38";"Myh11";"15";"1";-1,62571018501839;-4,31072523641346
"39";"Ndufa4l2";"31";"1";-1,70514046713433;-6,73887589025257
"40";"Cdo1";"9";"1";-1,96243292778453;0,427534794333005
"41";"Igfbp2";"23";"1";-1,66084989472946;-3,45882322835681
"42";"Myl6";"15";"1";-1,65996899768433;-4,21564533757923
"43";"Bgn";"15";"1";-1,49350449010453;-4,17940619039295
"44";"Mme";"7";"1";2,81300333574691;-3,18899657773731
"45";"Crip1";"34";"1";-2,30876165196022;-6,74991991567371
"46";"Fgf7";"13";"1";-1,38908281489929;-3,52625134038684
"47";"Ebf1";"48";"1";-1,34716710015854;-6,77070906209705
"48";"Fxyd2";"40";"1";-3,48232277795395;-0,487534070489383
"49";"Fosb";"56";"1";-1,35464474126419;-1,81170561361072
