"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"Esp4";5,01903245088252e-304;3,08676844033859;0,917;0,125;7,39654812286556e-300
"Gjb2";2,10953880683717e-225;1,84171221343408;0,854;0,156;3,10882733963594e-221
"BC006965";2,24363825969288e-225;1,30305266147675;0,662;0,067;3,30644970330939e-221
"Ccnd1";1,41730837819083e-219;2,13335608721549;0,856;0,175;2,08868735693982e-215
"Wfdc18";1,04926023009038e-200;3,42970056945818;1;0,501;1,5462948010842e-196
"Slc13a2";4,42342052135296e-191;1,03125883394661;0,501;0,035;6,51879482231786e-187
"Car2";5,57603346890694e-189;2,44858437980107;0,95;0,364;8,21740052312816e-185
"Ano1";1,59102987990733e-183;1,18261667477636;0,655;0,091;2,34470073401944e-179
"Taldo1";1,14071302993583e-157;1,6435444034467;1;0,948;1,68106879221644e-153
"Slc9a3";2,0349740302376e-156;0,85709117163752;0,469;0,043;2,99894122836115e-152
"Tmem176b";4,73189263668328e-153;2,21076806291246;0,997;0,801;6,97339017868014e-149
"Tmem176a";9,24176500410253e-151;2,17550225383556;0,965;0,627;1,36195890865459e-146
"Aox3";7,17714786794493e-144;1,10932490629554;0,632;0,113;1,05769628129904e-139
"Ctsh";2,04601624468606e-141;1,60318276397022;0,889;0,436;3,01521413979384e-137
"Cyp2f2";1,05230066515734e-137;1,95897591953273;1;0,769;1,55077549024237e-133
"Fth1";4,68648243037345e-136;1,3082647088048;1;0,982;6,90646915764135e-132
"Il34";9,94950699970898e-135;0,740149105941909;0,486;0,062;1,46625884654711e-130
"Mgst1";1,08141083427878e-124;1,46078474837563;0,809;0,283;1,59367514647664e-120
"Fads2";2,82454917543088e-121;0,651180581784795;0,428;0,05;4,16253811983249e-117
"Foxc1";1,7591924809415e-120;1,25406105474079;0,791;0,295;2,59252195916349e-116
"Spint2";1,50754971897413e-119;1,04342326832281;1;0,968;2,22167602085217e-115
"Elf5";9,76319397731661e-116;1,29853032837072;0,798;0,311;1,43880189643715e-111
"Pir";1,73508632248344e-115;1,01011985553972;0,501;0,084;2,55699671344384e-111
"Ehf";1,70727855808161e-114;1,33140044198251;0,98;0,771;2,51601641104487e-110
"Tspan33";1,05953141955172e-113;0,851467804304285;0,537;0,103;1,56143145299337e-109
"Cxcl17";2,08703768206626e-113;1,25379649175261;1;0,824;3,07566743206105e-109
"Cd81";4,50773250582192e-112;1,25911938252344;0,995;0,799;6,64304539382976e-108
"Lmo4";5,78496349778076e-111;1,36304795560088;0,864;0,498;8,52530070667951e-107
"Nkd2";8,27036425649519e-111;0,952423104086245;0,557;0,117;1,2188035804797e-106
"Enpp3";2,32073592998728e-107;0,981262808420599;0,526;0,111;3,42006854002226e-103
"Cyb5a";4,90941493553501e-107;1,248024250563;0,992;0,82;7,23500479049794e-103
"Barx2";7,28683911117459e-107;1,23902322416503;0,811;0,345;1,0738614798138e-102
