"";"id";"module";"supermodule";"dim_1";"dim_2"
"1";"Smgc";"10";"1";-4,63375262939006;2,88341411422432
"2";"Mucl2";"55";"1";-5,95179586135417;1,08112367461861
"3";"Scgb2b27";"55";"1";-5,94444899283916;1,13603671859444
"4";"Scgb1b27";"55";"1";-5,97210864745647;1,11829408477486
"5";"Klk1";"1";"1";2,3336219338271;-3,94937983681022
"6";"Car6";"55";"1";-5,94218640052349;1,14071973632515
"7";"Scgb2b26";"55";"1";-5,96847705565959;1,11626228164376
"8";"Krt8";"33";"1";3,57903189934224;-1,30355182815849
"9";"Hepacam2";"18";"1";2,75598807610005;2,22669109176338
"10";"Krt18";"33";"1";3,58589358604878;-1,27623811889946
"11";"Actg1";"33";"1";3,44355101860493;-1,23459259201347
"12";"Prol1";"55";"1";-5,96524910651714;1,10039075683296
"13";"Klk1b5";"1";"1";2,33592219627827;-4,21741393734276
"14";"Klk1b26";"1";"1";2,39831967628926;-4,21682993103325
"15";"Fxyd2";"35";"1";1,89714379585713;2,57827743362129
"16";"Klk1b4";"1";"1";2,36162562645405;-4,28546992470085
"17";"Phyh";"42";"1";-4,21104471408397;3,01020129989327
"18";"Stap1";"18";"1";2,66585583961934;2,29153331588448
"19";"Taldo1";"8";"1";-2,61356736742526;-0,38264290024101
"20";"Cldn10";"42";"1";-4,44104020320445;3,20336421798409
"21";"Actb";"33";"1";3,51713223732442;-1,19227329422294
"22";"Fxyd3";"2";"1";-3,57908700429469;2,01100715469063
"23";"Smoc2";"20";"1";0,171259596714674;-5,07979849506675
"24";"Fos";"49";"1";3,49331183708638;-2,06208006073295
"25";"Cldn4";"14";"1";3,38556428230733;-1,38297191788017
"26";"Ldhb";"35";"1";1,90931268013447;2,37119754623116
"27";"Prlr";"42";"1";-4,48591737472087;3,15474113296211
"28";"Atf3";"49";"1";3,46180339134663;-1,81544796158134
"29";"Aqp5";"47";"1";-5,04133872710735;2,54643520187081
"30";"Klk1b11";"1";"1";2,50820489204854;-3,73663393188774
"31";"Agt";"55";"1";-5,91671566688091;1,1596287138337
"32";"Junb";"49";"1";3,56907124794453;-1,91919246841728
"33";"mt-Co3";"56";"1";2,23048110283345;-6,61015940238296
"34";"Tnfrsf12a";"33";"1";2,85185475624531;-0,972559606326215
"35";"Atp6v0d2";"18";"1";2,17286439217061;1,84554466079415
"36";"Itm2b";"26";"1";0,371982529530226;3,24667533706368
"37";"Wfdc18";"8";"1";-2,66973401629001;-0,784720098269575
"38";"Pip";"47";"1";-5,08261971198589;2,43619998763741
"39";"Tuba1c";"14";"1";3,13291354454487;-1,22522417236625
"40";"Rbp1";"20";"1";0,235663845905958;-5,08197024990379
"41";"Car2";"8";"1";-2,49068193160564;-0,733855401766889
"42";"mt-Atp6";"56";"1";2,22977538383931;-6,60828429986297
"43";"Fth1";"19";"1";-2,54066605888873;-0,113284742129438
"44";"Gnas";"26";"1";1,99135537422627;2,83387264083565
"45";"Zfp36";"49";"1";3,6435699013564;-1,86465612579643
"46";"mt-Nd4";"56";"1";2,22257705009907;-6,59627414275467
"47";"Slc12a2";"18";"1";2,6753229645583;2,01664718459786
"48";"mt-Cytb";"56";"1";2,22779317177266;-6,6039536945945
"49";"App";"34";"1";2,75998778618306;1,42855342696846
"50";"Ctsh";"8";"1";-2,70819068350464;-0,602862989199751
"51";"Tmed3";"10";"1";-4,50854234420329;2,71908935378731
"52";"mt-Co2";"56";"1";2,22824425972432;-6,60526237417518
"53";"Gm42418";"13";"1";-0,141716048350633;-2,30132619072258
"54";"Epcam";"26";"1";0,34781141556233;3,10171111892403
