"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"Wfdc18";2,04166425025477e-129;2,51721639778475;0,973;0,505;3,1478379410428e-125
"Car2";2,42468779784457e-125;1,99011284761735;0,912;0,335;3,73838364671676e-121
"Tnf";1,47863590622982e-119;0,711271837544335;0,264;0,014;2,27976084022514e-115
"Cebpb";2,88898109659351e-115;2,16098803903756;0,973;0,64;4,45423105472788e-111
"Krt18";5,30459464786978e-111;2,03174870985692;1;0,983;8,17862402808562e-107
"Krt8";7,55532517979537e-110;2,248763809896;1;0,952;1,16488003622085e-105
"Gjb2";8,93975448406844e-109;1,46552748871499;0,729;0,193;1,37833134635367e-104
"Actb";2,70591704561085e-104;1,87178142354708;1;0,976;4,17198290092281e-100
"Aox3";7,73358095700634e-103;0,845373862400891;0,603;0,121;1,19236351195124e-98
"Rhov";5,13143380993626e-100;0,8838701066256;0,553;0,112;7,91164464815973e-96
"Esp4";7,88883645182172e-99;1,52800007720192;0,675;0,163;1,21630080414187e-94
"Cxcl1";2,81205824599659e-98;2,65894869829422;0,505;0,1;4,33563140367755e-94
"Actg1";4,43031745576963e-98;1,72521423063033;1;0,975;6,83066345330561e-94
"Pir";1,46076068406399e-93;0,734508699157173;0,498;0,091;2,25220082268986e-89
"Jund";1,30772164136654e-90;1,41269804629129;1;0,959;2,01624522665893e-86
"Ier3";1,76347806854015e-90;2,17563642684055;0,98;0,712;2,7189304860752e-86
"Tm4sf1";1,07379104906077e-88;1,76518876541055;0,461;0,086;1,6555710394419e-84
"Ctsh";4,12610797142909e-86;1,2298825547855;0,892;0,423;6,36163327034936e-82
"Hspb8";8,31647401728732e-85;1,37874147317563;0,797;0,321;1,28223396398536e-80
"Ceacam1";1,92717269429936e-83;1,21748392352211;0,776;0,307;2,97131486007076e-79
"Junb";3,38946694108571e-81;1,55612531904751;0,997;0,873;5,22588012976595e-77
"Palmd";4,66222218651444e-78;1,3169052201791;0,915;0,564;7,18821416716797e-74
"Clu";9,05165811140027e-78;1,89993120686957;0,8;0,34;1,39558464761569e-73
"Klf6";1,24954810184921e-77;1,5950739879752;0,99;0,774;1,92655326343111e-73
"Myl12a";3,9980568330537e-77;1,28087985008395;0,976;0,805;6,1642040252022e-73
"Tmem176b";6,20145106846743e-77;1,45032879611024;0,973;0,781;9,56139725736308e-73
"Zfp36";1,09100076496572e-76;1,63195186442543;0,973;0,741;1,68210497942415e-72
"Cldn4";2,17022494265075e-74;1,61055792377822;0,98;0,792;3,34605281657893e-70
"Cyba";4,70021828542522e-73;1,02739621458818;0,817;0,345;7,2467965524686e-69
"Esp18";1,14877977171802e-72;2,10769964769055;0,519;0,137;1,77118865203484e-68
"Cd24a";3,16009015651812e-72;1,09828881884433;0,993;0,927;4,87222700331963e-68
"Barx2";1,06845995225134e-70;1,0625929940382;0,82;0,379;1,64735155438111e-66
"Sdc4";1,30678406600458e-70;1,40056637866785;0,99;0,894;2,01479967296586e-66
"Ppp1r15a";4,06277667936215e-69;1,33448423415867;0,922;0,568;6,26398908424056e-65
"Egr1";8,77145054014834e-69;1,61266726469428;0,959;0,734;1,35238224428007e-64
"Tspan33";7,97745948358789e-68;0,561880101978319;0,488;0,117;1,22996470317958e-63
"Dclk1";8,54682123387482e-68;0,649756433444103;0,461;0,105;1,31774889783882e-63
"Mgst1";2,15999858387765e-67;1,12546295698952;0,79;0,329;3,33028581662256e-63
"Cldn3";3,14688787688793e-67;1,18465383078632;0,997;0,867;4,85187172858582e-63
"Cyp2f2";8,36221366429556e-67;1,18975390202109;0,997;0,746;1,28928610276109e-62
"Cdo1";1,18903634709554e-66;1,17217958156565;0,803;0,366;1,83325623995191e-62
"Klf7";1,35781266933594e-66;1,06411388927801;0,549;0,164;2,09347557358215e-62
"Arid5b";7,47476481321601e-66;1,42947266879478;0,885;0,516;1,15245923890164e-61
"H3f3b";1,23499738452885e-65;1,24447589425529;1;0,982;1,90411896746658e-61
"Pnrc1";1,831136295301e-64;1,06037131530516;0,976;0,877;2,82324594009508e-60
"Tmem176a";2,90871131497909e-64;1,25755295537661;0,922;0,613;4,48465110543476e-60
"Ccnd1";1,47432676796864e-63;1,20198296494006;0,658;0,235;2,27311701085404e-59
"Myl6";3,44907549074064e-63;0,960607396577824;0,997;0,954;5,31778459162392e-59
"Ces1d";9,12674874354127e-63;0,928479729244839;0,956;0,528;1,40716212127919e-58
"Btg2";9,93133051910656e-63;1,32859078428976;0,993;0,879;1,53121253943585e-58
"Fosb";5,40018641063176e-62;1,37913234311615;0,942;0,665;8,32600740791205e-58
"Ccn1";4,5259438739105e-61;1,61584733786366;0,715;0,297;6,97810026479522e-57
"Csrp1";1,16022452206073e-60;1,74757488684565;0,793;0,466;1,78883416811323e-56
"Tuba1c";2,8384700144759e-60;1,31935329402276;0,864;0,539;4,37635306831894e-56
"Clic1";3,04499490130227e-60;0,985413758388523;0,969;0,804;4,69477313882784e-56
"Elf5";5,17854740076086e-60;0,925334720176481;0,78;0,349;7,98428438249309e-56
"Ehf";1,00616955307949e-58;0,986020930148906;0,973;0,763;1,55131221693795e-54
"Net1";8,30845538213803e-58;0,777804160129922;0,593;0,208;1,28099765081804e-53
"Gpx4";6,3639358061733e-56;0,903268919871676;0,997;0,963;9,81191622595799e-52
"Gadd45b";7,57838664336444e-56;1,36728384001955;0,942;0,69;1,16843565267393e-51
"Atf3";1,21885942288845e-55;1,48670553125026;0,983;0,797;1,87923745820941e-51
"Epcam";1,15793992339007e-54;0,909707662501308;1;0,951;1,78531177388281e-50
"Krt23";2,18841980570056e-54;1,58674769941311;0,881;0,705;3,37410565642912e-50
"Arf2";1,48820631293382e-53;0,575681613518744;0,386;0,094;2,29451649328137e-49
"Tmsb4x";1,77627235551394e-52;1,17083085375957;1;0,993;2,7386567177314e-48
"Taldo1";3,7741371289146e-52;0,84933924922531;0,993;0,947;5,81896462536052e-48
"Cxcl2";1,17249834636609e-51;1,33668342809613;0,139;0,011;1,80775795042723e-47
"Maff";6,30129956125985e-51;1,40504497350137;0,807;0,464;9,71534366355044e-47
"Anxa1";9,90019251394487e-51;1,44955821581768;0,976;0,845;1,52641168180002e-46
"Perp";1,7121817004161e-50;0,845829218310236;0,946;0,765;2,63984174570155e-46
"Aldoc";4,69502468774924e-50;0,709514952763519;0,573;0,207;7,23878906357178e-46
"Wwtr1";1,11004596701962e-49;0,648479958036583;0,597;0,227;1,71146887195085e-45
"Nr4a1";5,23671450399281e-49;1,26455231399493;0,766;0,407;8,07396642225611e-45
"Ubc";5,4650290668984e-49;1,05775815752048;1;0,97;8,42598181534396e-45
"Fth1";1,38427789887104e-48;0,78355202050504;1;0,988;2,13427966447937e-44
"Edn1";2,94341469611612e-48;1,71095476829309;0,617;0,267;4,53815677847183e-44
"Cxcl17";8,25242006359398e-48;0,824623430234894;0,993;0,77;1,27235812540492e-43
"Zfp36l1";9,45988076226986e-48;1,34144178828866;0,854;0,646;1,45852441592677e-43
"Rhob";2,17366934902412e-47;1,13216153883809;0,837;0,516;3,35136340232538e-43
"Glul";2,45545792266905e-47;0,940739631337742;0,946;0,771;3,78582502517114e-43
"Atp2a3";3,26773966355476e-47;-0,923491780817588;0,376;0,772;5,03820101326873e-43
"Nkd2";5,30993620471491e-47;0,644691476727132;0,447;0,134;8,18685964042946e-43
"Ube2s";5,38100541182817e-47;1,01753386618092;0,919;0,717;8,29643414395668e-43
"mt-Co1";3,84807064664118e-46;-0,791672290712332;1;1;5,93295532299137e-42
"Ano1";5,04887488843512e-46;0,593100210102604;0,461;0,143;7,78435530298926e-42
"Ftl1";7,20040213271808e-46;0,95890815277752;1;0,976;1,11015800082247e-41
"Dbndd2";2,03939445361092e-45;0,822977358023518;0,654;0,312;3,14433836857731e-41
"Mcl1";7,82349038010118e-45;0,821387964296478;0,942;0,726;1,206225746804e-40
"Thbs1";1,17600832253138e-43;1,52084799297583;0,464;0,158;1,81316963167888e-39
"Fads2";1,29678578611525e-43;0,46396364872848;0,305;0,07;1,99938432503249e-39
"Il34";6,08131608071144e-43;0,451410434707668;0,349;0,091;9,3761731332409e-39
"S100a11";9,58055530542136e-43;0,884280695674846;0,993;0,895;1,47713001698987e-38
"Rab11fip1";1,35913788469668e-41;0,766954312015615;0,546;0,227;2,09551879062534e-37
"Clic6";1,49998926160483e-41;0,288020731980867;0,22;0,038;2,31268344354232e-37
"Psmb8";1,78624007459531e-41;0,763962736785895;0,705;0,356;2,75402494701105e-37
"Cfl1";4,0010555010817e-41;0,893730361879429;0,946;0,789;6,16882737156777e-37
"mt-Nd4";4,4786627946057e-41;-0,864695968404954;1;1;6,90520229672307e-37
"Anxa2";7,32817322904403e-41;1,05227188367009;0,827;0,556;1,12985774845401e-36
"Gfra3";9,88972182349408e-41;0,286127182633187;0,193;0,03;1,52479731074632e-36
"Pitpnc1";1,23468603259895e-40;0,618490152984133;0,553;0,22;1,90363892506106e-36
"Marcksl1";3,00532849744984e-40;0,853521727043756;0,563;0,238;4,63361547736817e-36
"Cat";3,48317584970788e-40;0,692553352862755;0,831;0,515;5,37036052507961e-36
"Acot1";3,48393586877326e-40;0,668872968266173;0,698;0,328;5,37153232247461e-36
"Gmds";5,13061489906265e-40;0,731175735618112;0,668;0,339;7,91038205137479e-36
"Fos";6,33220073883413e-40;1,58132071918706;0,953;0,828;9,76298709913446e-36
"mt-Co3";1,64861132638777e-39;-0,791208989765332;1;1;2,54182894302466e-35
"mt-Cytb";2,29052489714662e-39;-0,728732068018628;1;1;3,53153128642066e-35
"Zfand5";8,07326657814773e-39;0,893158679159155;0,915;0,758;1,24473624101882e-34
