"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"Col3a1";0;5,29934054449504;1;0,002;0
"Col5a2";0;2,57066785837023;0,95;0,002;0
"Col6a3";0;2,52245062332195;0,95;0,001;0
"Cfh";0;2,56697242847857;0,9;0,004;0
"Prrx1";0;1,84762636718194;0,75;0;0
"Dpt";0;2,16770319139196;0,65;0,001;0
"Ifi207";0;1,43073759722575;0,65;0,002;0
"Mndal";0;1,41454804151557;0,9;0,007;0
"Ifi205";0;1,229699103113;0,55;0,001;0
"Cd34";0;2,71808647773121;1;0,005;0
"Col5a1";0;1,7423093496598;0,75;0,001;0
"Prrx2";0;0,764793762761229;0,55;0,001;0
"Lamc3";0;0,887525270741587;0,4;0;0
"Zeb2";0;1,58163106745941;0,8;0,002;0
"Cd302";0;3,5805222970391;0,95;0,003;0
"Fap";0;1,37407141957167;0,75;0,003;0
"Scn7a";0;1,25674814298636;0,65;0,001;0
"Serping1";0;4,09680523802371;0,95;0,001;0
"Fbn1";0;1,55664424625888;0,8;0,002;0
"Fbln7";0;2,12027441735962;0,8;0,001;0
"Cpxm1";0;2,01607016208666;0,85;0,001;0
"Thbd";0;1,70845200539428;0,8;0,004;0
"Ptgis";0;1,1695544620693;0,5;0;0
"Gnb4";0;0,884193837479845;0,65;0,002;0
"Pcdh18";0;0,886043683919833;0,55;0,001;0
"Gask1b";0;1,55627475079242;0,8;0,002;0
"Ctsk";0;2,1173142828697;0,85;0,003;0
"Col15a1";0;2,87608257386963;0,9;0,004;0
"Svep1";0;1,34975626348238;0,75;0;0
"Col27a1";0;0,764793762761229;0,6;0,001;0
"Podn";0;1,82707804101557;0,65;0,001;0
"Rspo1";0;0,84799690655495;0,5;0;0
"Mfap2";0;1,19645495033326;0,6;0,002;0
"Gpr153";0;1,32118711128561;0,55;0,001;0
"Mxra8";0;2,34310448153062;0,9;0,005;0
"Htra3";0;3,79923156326455;1;0,001;0
"Pdgfra";0;2,33591284849142;0,85;0;0
"Plac8";0;2,24681618070853;0,75;0,001;0
"Medag";0;1,25933328774213;0,65;0,002;0
"Col1a2";0;5,14917498017086;1;0,003;0
"Rarres2";0;3,28244056518497;0,95;0,001;0
"Inmt";0;3,04402357998544;0,85;0;0
"Adcyap1r1";0;0,887154731368576;0,6;0;0
"Cxcl12";0;3,19115609838146;0,9;0,005;0
"Mfap5";0;3,17680645946078;0,8;0;0
"C1ra";0;2,84097288095;1;0,005;0
"C1s1";0;3,02162114850733;1;0,003;0
"Tspan11";0;1,26155281901204;0,65;0,001;0
"Axl";0;1,4288886990605;0,7;0,003;0
"Fxyd1";0;2,45425270780091;0,95;0,001;0
"Rcn3";0;2,16474609060592;0,95;0,002;0
"Emp3";0;2,772582342814;0,95;0,004;0
"Ndn";0;1,37777063965198;0,8;0,001;0
"Lsp1";0;1,48098662348818;0,65;0,002;0
"Lpl";0;3,69967760940848;1;0,008;0
"Mmp2";0;2,98910311448639;0,95;0,001;0
"Crispld2";0;2,47137643872768;0,75;0,001;0
"Dpep1";0;3,54215036184861;0,85;0,002;0
"Mmp3";0;1,16992500144231;0,4;0;0
"Naalad2";0;1,03451257699566;0,5;0,001;0
"Thy1";0;1,06927799515634;0,6;0,001;0
"Nnmt";0;1,13676254014819;0,6;0,001;0
"Arhgap20";0;0,923407639266533;0,65;0,002;0
"Crabp1";0;2,84688557381989;0,65;0,001;0
"Islr";0;2,60215405128986;0,9;0,004;0
"Loxl1";0;1,74304976283535;0,65;0,001;0
"Col6a6";0;0,887525270741587;0,6;0;0
"Clec3b";0;4,67252378249154;0,95;0,002;0
"Akap12";0;1,62708930466312;0,8;0,002;0
"Lama2";0;2,37703003643198;0,9;0,001;0
"Rspo3";0;1,9944518773789;0,8;0,003;0
"Bicc1";0;2,13232461291355;0,9;0,003;0
"Ggt5";0;1,60326112005442;0,8;0,004;0
"Col6a2";0;2,98947327357524;0,95;0,001;0
"Col6a1";0;3,5031388055818;1;0,001;0
"Igf1";0;1,94004884126803;0,7;0,002;0
"Lum";0;4,80366504522077;1;0,001;0
